,English text,Welsh text,Comments,,,,
T1. Before you start,,,,,,,
Title/H1,Before you start,Cyn i chi ddechrau,,,,,
P,Use this service to submit your Alcohol Duty Return for [start date] to [end date].,Defnyddiwch y gwasanaeth hwn i gyflwyno’ch Datganiad Toll Alcohol ar gyfer [start date] i [end date].,,,,,
P,You need to tell us about any alcoholic products for duty in this period. When declaring you will need to tell us the total litres of alcoholic product and the litres of pure alcohol across a range of ABV bands.,"Mae angen i chi roi gwybod i ni am unrhyw gynhyrchion alcoholaidd at ddiben toll yn ystod y cyfnod hwn. Wrth ddatgan, bydd angen i chi roi gwybod i ni beth yw cyfanswm y litrau o gynnyrch alcoholaidd a’r litrau o alcohol pur ar draws ystod o fandiau ABV (alcohol yn ôl cyfaint).",,,,,
P,You can also use this service to tell us about:,Gallwch hefyd ddefnyddio’r gwasanaeth hwn i roi gwybod i ni am y canlynol:,,,,,
List item,alcoholic products not declared in an earlier return,cynhyrchion alcoholaidd na chafodd eu datgan mewn Datganiad cynharach,,,,,
List item,alcoholic products over-declared in an earlier return,cynhyrchion alcoholaidd a gafodd eu gorddatgan mewn Datganiad cynharach,,,,,
List item,spoilt alcoholic products,cynhyrchion alcoholaidd sydd wedi’u difetha,,,,,
List item,repackaged draught alcoholic products,cynhyrchion alcoholaidd o’r gasgen sydd wedi’u hailbecynnu,,,,,
List item,alcoholic products you have exported and need to claim drawback on,cynhyrchion alcoholaidd rydych chi wedi’u hallforio ac y mae angen i chi hawlio ad-daliad ar eu cyfer,,,,,
P,The deadline for completing this return [is] [due date/today],Y dyddiad cau ar gyfer cwblhau’r Datganiad hwn [yw] [due date/heddiw],"We have assumed that ""today"" will appear as a word rather than a date, so we have translated it into Welsh. If our assumption is incorrect, then please change ""/heddiw"" to ""/today"".",,,,
P,The deadline for completing this return [was] [due date],Y dyddiad cau ar gyfer cwblhau’r Datganiad hwn [oedd] [due date],,,,,
Button,Continue,Parhau,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
(beta v2) T2: Task List,,,,,,,
Title/H1,Complete your Alcohol Duty Return,Cwblhau’ch Datganiad Toll Alcohol,,,,,
P,This is your alcohol return for the period [start date] to [end date]. ,Dyma’ch Datganiad Toll Alcohol ar gyfer y cyfnod [start date] i [end date].,,,,,
P,Complete all the tasks and send this return on or before [due date].,Cwblhewch yr holl dasgau ac anfonwch y Datganiad hwn ar neu cyn [due date].,,,,,
P,We will save your answers until [d mmmm yyyy].,Byddwn yn cadw’ch atebion tan [d mmmm yyyy].,,,,,
Status,Not yet started,Heb ddechrau hyd yn hyn,,,,,
Status,In progress,Ar y gweill,,,,,
Status,Completed,Wedi cwblhau,,,,,
Status,Cannot start,Methu dechrau,,,,,
H2,Declare alcoholic products for duty,Datgan cynhyrchion alcoholaidd at ddiben toll,,,,,
Link,Tell us if you have alcoholic products to declare,Rhoi gwybod i ni a oes gennych gynhyrchion alcoholaidd i’w datgan,,,,,
Link,Declare beer,Datgan cwrw,,,,,
Link,Declare cider,Datgan seidr,,,,,
Link,Declare wine,Datgan gwin,,,,,
Link,Declare other fermented products,Datgan cynhyrchion eplesedig eraill,,,,,
Link,Declare spirits,Datgan gwirodydd,,,,,
H2,Declare adjustments from previous returns,Datgan addasiadau o Ddatganiadau blaenorol,,,,,Screenshot to be provided
Link,Tell us if you have adjustments to declare,Rhoi gwybod i ni a oes gennych addasiadau i’w datgan,,,,,
H2,Declare adjustments,Datgan addasiadau,,,,,
Link,Tell us why products were under-declared,Rhoi gwybod i ni pam y cafodd cynhyrchion eu tanddatgan,,,,,
Link,Tell us why products were over-declared,Rhoi gwybod i ni pam y cafodd cynhyrchion eu gorddatgan,,,,,
H2,Report duty suspended alcohol deliveries,Rhoi gwybod am ddosbarthiadau o alcohol y gohiriwyd tollau arno,,,,,
Link,Tell if you have delivered or received finished products in duty suspense,Rhoi gwybod i ni a ydych wedi dosbarthu neu dderbyn cynhyrchion gorffenedig o dan ohiriad tollau,"We have translated ""Tell if"" as ""Tell us if"". However, please let us know if the intended meaning was ""How to know if…"".",,,,
Link,Change the entries you've told us about,Newid y cofnodion rydych chi wedi rhoi gwybod i ni amdanynt,"We have interpreted ""entries"" as entries in a record, but please let us know if it refers to things entering the UK.",,,,
H2,Report spirits production,Rhoi gwybod am waith cynhyrchu gwirodydd,,,,,
Link,Tell us about spirits produced in the past three months,Rhoi gwybod i ni am wirodydd a gynhyrchwyd yn ystod y tri mis diwethaf,,,,,
H2,Send return,Anfon Datganiad,,,,,
H2,Check duty payable and send your return,Gwirio’r doll sy’n daladwy ac anfon eich Datganiad,,,,,
,Complete all tasks,Cwblhewch bob tasg,,,,,
