,English text,Welsh text,Comments
Check your return,,,
Caption,Send return,Anfon Datganiad,
Title/H1,The duty value for this return in [£duty value],Gwerth y doll ar gyfer y Datganiad hwn yw [£duty value],"We've translated ""is"" to match the screenshot, instead of ""in"""
P,You will be liable for this amount once you send your return.,Byddwch yn agored i dalu’r swm hwn unwaith y byddwch yn anfon eich Datganiad.,
H2,How we worked this out,Sut y gwnaethom gyfrifo hyn,
P,We calculated the total duty due on the alcoholic products you declared,Gwnaethom gyfrifo cyfanswm y doll sy’n ddyledus ar y cynhyrchion alcoholaidd a ddatganwyd gennych,
P,Check the values of declared alcohol and adjustments are correct before continuing.,Gwiriwch fod gwerthoedd yr alcohol a ddatganwyd a’r addasiadau yn gywir cyn parhau.,
H2,Final duty summary,Crynodeb tollau terfynol,
Row heading,Spirits declared,Gwirodydd wedi’u datgan,
Row heading,Wine declared,Gwin wedi’i ddatgan,
Row heading,Cider declared,Seidr wedi’i ddatgan,
Row heading,Other fermented products declared,Cynhyrchion eplesedig eraill wedi’u datgan,
Row heading,Beer declared,Cwrw wedi’i ddatgan,
Row heading,Adjustments to previous returns,Addasiadau i Ddatganiadau blaenorol,
Link,Change[ spirits declared],Newid[ gwirodydd wedi’u datgan],
Link,Change[ wine declared],Newid[ gwin wedi’i ddatgan],
Link,Change[ cider declared],Newid[ seidr wedi’i ddatgan],
Link,Change[ other fermented products declared],Newid[ cynhyrchion eplesedig eraill wedi’u datgan],
Link,Change[ beer declared],Newid[ cwrw wedi’i ddatgan],
Link,Change[ adjustments to previous returns],Newid[ addasiadau i Ddatganiadau blaenorol],
H2,You've also answered,Rydych chi hefyd wedi ateb y canlynol,
P,The below answers will not affect how much you owe.,Ni fydd yr atebion isod yn effeithio ar faint sydd arnoch.,
Row heading,Duty suspended alcohol,Alcohol y gohiriwyd tollau arno,
Row heading,Spirits production,Cynhyrchu gwirodydd,
Table cell,Declared,Datganwyd,
Link,Change[ duty suspended alcohol],Newid[ alcohol y gohiriwyd tollau arno],
Link,Change[ spirits production],Newid[ cynhyrchu gwirodydd],
Button,Agree and send return,Cytuno ac anfon y Datganiad,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Return sent,,,
Title/H1,Return sent,Datganiad wedi’i anfon,
P,Your return reference is:,Cyfeirnod eich Datganiad yw:,
P,You have nothing to pay,Does gennych chi ddim byd i’w dalu,
P,You need to pay [£ duty owed],Mae angen i chi dalu [£ duty owed],
P,You are owed  [£ duty due],Dyma faint sy’n ddyledus i chi: [£ duty due],
P,You sent your return for Alcohol Duty on [submission date] for the period [return period].,Gwnaethoch chi anfon eich Datganiad Toll Alcohol ar [submission date] ar gyfer y cyfnod [return period].,
H2,What happens next,Yr hyn sy’n digwydd nesaf,
P,"You can pay your duty now or later from your Business Tax Account, but you must pay it by [payment due date]. You will be charged interest if you do not pay by this date.","Gallwch dalu’ch toll nawr neu’n hwyrach drwy’ch Cyfrif Treth Busnes, ond bydd yn rhaid i chi ei thalu erbyn [payment due date]. Codir llog arnoch os na fyddwch yn talu erbyn y dyddiad hwn.",
P,Payment for this return was due on [payment due date] and is late. You will be charged interest for the period from [payment due date] to the date you make payment.,Roedd disgwyl i chi wneud taliad ar gyfer y Datganiad hwn ar [payment due date] ond mae’r taliad yn hwyr. Codir llog arnoch ar gyfer y cyfnod sy’n dechrau ar [payment due date] ac sy’n dod i ben ar y dyddiad y gwnewch y taliad.,
P,Your reference number can be used as a payment reference when you pay this return.,Gellir defnyddio’ch cyfeirnod fel cyfeirnod talu wrth i chi wneud taliad ar sail y Datganiad hwn.,
Warning, Our bank details have changed. Choose Pay now and then Bank transfer (BACS/CHAPS) to see the new details.,Mae ein manylion banc wedi newid. Dewiswch ‘Talu nawr’ ac yna ‘Trosglwyddiad banc (BACS/CHAPS)’ er mwyn gweld y manylion newydd.,
Button,Pay now,Talu nawr,
P,You can also pay duty automatically by direct debit. Set up or manage your Direct Debit,Gallwch hefyd dalu toll yn awtomatig drwy Ddebyd Uniongyrchol. Sefydlwch neu rheolwch eich Debyd Uniongyrchol,
P,You have a direct debit set up. The duty due will automatically be taken on [payment due date]. Manage your direct debit ,Rydych wedi sefydlu Debyd Uniongyrchol. Bydd y doll sy’n ddyledus yn cael ei chymryd yn awtomatig ar [payment due date]. Rheolwch eich Debyd Uniongyrchol,
P,You can also pay the duty automatically with a direct debit. Payments are taken on 25th of each month. Set up a direct debit ,Gallwch hefyd dalu’r doll yn awtomatig drwy Ddebyd Uniongyrchol. Mae taliadau’n cael eu cymryd ar y 25ain o bob mis. Sefydlwch Ddebyd Uniongyrchol ,
Link,Return to your Business Tax Account,Yn ôl i’ch Cyfrif Treth Busnes,
P,You can claim duty owed now or later in your Alcohol Duty account. If you do not claim it back then it will be used toward any duty due from your next return.,"Gallwch hawlio toll sy’n ddyledus nawr neu’n hwyrach drwy’ch cyfrif Toll Alcohol. Os na fyddwch yn ei hawlio’n ôl, bydd yn cael ei defnyddio tuag at unrhyw doll sy’n ddyledus yn sgil eich Datganiad nesaf.",
Button,Claim repayment,Hawlio ad-daliad,
